Area,ISO 3 code,Year,Area type,Continent,Ember region,EU,OECD,G20,G7,ASEAN,Category,Subcategory,Variable,Unit,Value,YoY absolute change,YoY % change
Afghanistan,AFG,2000,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.57,,
Afghanistan,AFG,2001,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.78,0.21,36.84
Afghanistan,AFG,2002,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.81,0.03,3.85
Afghanistan,AFG,2003,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.01,0.2,24.69
Afghanistan,AFG,2004,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.89,-0.12,-11.88
Afghanistan,AFG,2005,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,0.92,0.03,3.37
Afghanistan,AFG,2006,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.33,0.41,44.57
Afghanistan,AFG,2007,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.62,0.29,21.8
Afghanistan,AFG,2008,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,1.53,-0.09,-5.56
Afghanistan,AFG,2009,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,2.04,0.51,33.33
Afghanistan,AFG,2010,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,2.75,0.71,34.8
Afghanistan,AFG,2011,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,3.5,0.75,27.27
Afghanistan,AFG,2012,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,3.95,0.45,12.86
Afghanistan,AFG,2013,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.73,0.78,19.75
Afghanistan,AFG,2014,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.87,0.14,2.96
Afghanistan,AFG,2015,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,4.96,0.09,1.85
Afghanistan,AFG,2016,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.54,0.58,11.69
Afghanistan,AFG,2017,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.87,0.33,5.96
Afghanistan,AFG,2018,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.16,0.29,4.94
Afghanistan,AFG,2019,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.37,0.21,3.41
Afghanistan,AFG,2020,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.33,-0.04,-0.63
Afghanistan,AFG,2021,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.76,0.43,6.79
Afghanistan,AFG,2022,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.84,0.08,1.18
Afghanistan,AFG,2023,Country or economy,Asia,Asia,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.19,0.35,5.12
Albania,ALB,2000,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.73,,
Albania,ALB,2001,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.44,-0.29,-5.06
Albania,ALB,2002,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.82,0.38,6.99
Albania,ALB,2003,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.15,0.33,5.67
Albania,ALB,2004,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.03,-0.12,-1.95
Albania,ALB,2005,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.76,-0.27,-4.48
Albania,ALB,2006,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.65,-0.11,-1.91
Albania,ALB,2007,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,5.66,0.01,0.18
Albania,ALB,2008,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.19,0.53,9.36
Albania,ALB,2009,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.6,0.41,6.62
Albania,ALB,2010,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,6.62,0.02,0.3
Albania,ALB,2011,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.45,0.83,12.54
Albania,ALB,2012,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.26,-0.19,-2.55
Albania,ALB,2013,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,9.28,2.02,27.82
Albania,ALB,2014,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.79,-1.49,-16.06
Albania,ALB,2015,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.29,-0.5,-6.42
Albania,ALB,2016,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.74,0.45,6.17
Albania,ALB,2017,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.44,-0.3,-3.88
Albania,ALB,2018,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.64,0.2,2.69
Albania,ALB,2019,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.61,-0.03,-0.39
Albania,ALB,2020,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.59,-0.02,-0.26
Albania,ALB,2021,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,8.39,0.8,10.54
Albania,ALB,2022,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,7.89,-0.5,-5.96
Albania,ALB,2023,Country or economy,Europe,Europe,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,8.09,0.2,2.53
Algeria,DZA,2000,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,25.33,,
Algeria,DZA,2001,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,26.57,1.24,4.9
Algeria,DZA,2002,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,27.63,1.06,3.99
Algeria,DZA,2003,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,29.58,1.95,7.06
Algeria,DZA,2004,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,31.26,1.68,5.68
Algeria,DZA,2005,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,33.99,2.73,8.73
Algeria,DZA,2006,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,35.31,1.32,3.88
Algeria,DZA,2007,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,37.2,1.89,5.35
Algeria,DZA,2008,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,40.18,2.98,8.01
Algeria,DZA,2009,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,38.47,-1.71,-4.26
Algeria,DZA,2010,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,45.66,7.19,18.69
Algeria,DZA,2011,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,51.08,5.42,11.87
Algeria,DZA,2012,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,57.35,6.27,12.27
Algeria,DZA,2013,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,59.8,2.45,4.27
Algeria,DZA,2014,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,64.08,4.28,7.16
Algeria,DZA,2015,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,68.81,4.73,7.38
Algeria,DZA,2016,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,70.79,1.98,2.88
Algeria,DZA,2017,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,75.73,4.94,6.98
Algeria,DZA,2018,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,76.66,0.93,1.23
Algeria,DZA,2019,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,81.47,4.81,6.27
Algeria,DZA,2020,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,79.31,-2.16,-2.65
Algeria,DZA,2021,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,84.45,5.14,6.48
Algeria,DZA,2022,Country or economy,Africa,Africa,0,0,0,0,0,Electricity demand,Demand,Demand,TWh,88.9,4.45,5.27
